open,close,date
519.07,519.07,2007-02-22
520.46,520.46,2007-02-21
523.2,523.2,2007-02-20
525.69,525.69,2007-02-18
526.97,526.97,2007-02-15
525.86,525.86,2007-02-14
525.08,525.08,2007-02-13
523.94,523.94,2007-02-12
524.79,524.79,2007-02-11
523.11,523.11,2007-02-08
519.69,519.69,2007-02-07
520.65,520.65,2007-02-06
520.2,520.2,2007-02-05
519.77,519.77,2007-02-04
519.05,519.05,2007-02-01
513.34,513.34,2007-01-31
512.7,512.7,2007-01-29
519.92,519.92,2007-01-28
523.63,523.63,2007-01-25
526.33,526.33,2007-01-24
527.05,527.05,2007-01-22
529.81,529.81,2007-01-21
535.94,535.94,2007-01-18
538.53,538.53,2007-01-17
538.36,538.36,2007-01-15
537.09,537.09,2007-01-14
532.33,532.33,2007-01-11
532.28,532.28,2007-01-10
530.45,530.45,2007-01-09
525.27,525.27,2007-01-08
521.37,521.37,2007-01-07
512.32,512.32,2007-01-04
505.25,505.25,2007-01-03
508.96,508.96,2007-01-02
512.72,512.72,2007-01-01
514.42,514.42,2006-12-31
517.46,517.46,2006-12-28
520.02,520.02,2006-12-27
520.78,520.78,2006-12-26
520.96,520.96,2006-12-25
518.64,518.64,2006-12-24
515.39,515.39,2006-12-21
511.22,511.22,2006-12-20
517.45,517.45,2006-12-19
517,517,2006-12-18
514.36,514.36,2006-12-17
508.58,508.58,2006-12-14
503.02,503.02,2006-12-13
494.18,494.18,2006-12-12
485.71,485.71,2006-12-11
480.95,480.95,2006-12-10
476.8,476.8,2006-12-07
473.31,473.31,2006-12-06
475.01,475.01,2006-12-05
476.93,476.93,2006-12-04
479.83,479.83,2006-12-03
486.19,486.19,2006-11-30
492.46,492.46,2006-11-29
478.01,478.01,2006-11-28
469.51,469.51,2006-11-27
463.74,463.74,2006-11-26
453.03,453.03,2006-11-23
446.48,446.48,2006-11-21
445.58,445.58,2006-11-20
447.79,447.79,2006-11-19
447.43,447.43,2006-11-16
448.12,448.12,2006-11-15
445.03,445.03,2006-11-14
441,441,2006-11-13
448.69,448.69,2006-11-12
445.01,445.01,2006-11-09
435.88,435.88,2006-11-08
424.21,424.21,2006-11-07
419.56,419.56,2006-11-06
415.14,415.14,2006-11-05
413.1,413.1,2006-11-02
402.11,402.11,2006-11-01
408.38,408.38,2006-10-31
405.13,405.13,2006-10-30
403.02,403.02,2006-10-29
401.07,401.07,2006-10-26
399.65,399.65,2006-10-19
398.14,398.14,2006-10-18
398.44,398.44,2006-10-17
398.2,398.2,2006-10-16
399.22,399.22,2006-10-15
398.88,398.88,2006-10-12
397.98,397.98,2006-10-11
399.45,399.45,2006-10-10
399.1,399.1,2006-10-09
397.46,397.46,2006-10-08
394.25,394.25,2006-09-28
392.73,392.73,2006-09-26
392.41,392.41,2006-09-25
391.62,391.62,2006-09-24
392.09,392.09,2006-09-21
393.39,393.39,2006-09-20
393.02,393.02,2006-09-19
387.59,387.59,2006-09-18
382.56,382.56,2006-09-14
383.17,383.17,2006-09-13
383.6,383.6,2006-09-12
381.37,381.37,2006-09-11
381.42,381.42,2006-09-10
381.47,381.47,2006-09-07
380.92,380.92,2006-09-05
382.5,382.5,2006-09-04
382.63,382.63,2006-09-03
382.24,382.24,2006-08-31
380.73,380.73,2006-08-30
379.27,379.27,2006-08-29
378.24,378.24,2006-08-28
378.81,378.81,2006-08-27
379.93,379.93,2006-08-24
380.83,380.83,2006-08-22
382.91,382.91,2006-08-21
384.79,384.79,2006-08-20
387.94,387.94,2006-08-17
389.23,389.23,2006-08-15
390.29,390.29,2006-08-14
391.73,391.73,2006-08-13
390.86,390.86,2006-08-08
383.14,383.14,2006-08-07
363.56,363.56,2006-08-06
355.6,355.6,2006-08-03
358.69,358.69,2006-08-02
366.73,366.73,2006-08-01
378.76,378.76,2006-07-31
386.5,386.5,2006-07-30
387.34,387.34,2006-07-27
394.86,394.86,2006-07-26
397.35,397.35,2006-07-25
398.21,398.21,2006-07-24
397.95,397.95,2006-07-23
395.89,395.89,2006-07-20
393.68,393.68,2006-07-19
389.74,389.74,2006-07-18
388.16,388.16,2006-07-17
386.83,386.83,2006-07-16
386.45,386.45,2006-07-13
386.63,386.63,2006-07-12
385.31,385.31,2006-07-10
384.6,384.6,2006-07-09
383.85,383.85,2006-07-06
382.04,382.04,2006-07-05
380.43,380.43,2006-07-04
378.66,378.66,2006-07-03
376.77,376.77,2006-07-02
375.14,375.14,2006-06-29
374.74,374.74,2006-06-28
375.47,375.47,2006-06-27
377.55,377.55,2006-06-26
378.45,378.45,2006-06-25
378.87,378.87,2006-06-22
378.68,378.68,2006-06-21
377.04,377.04,2006-06-20
375.49,375.49,2006-06-19
374.05,374.05,2006-06-18
372.21,372.21,2006-06-15
372.01,372.01,2006-06-14
370.79,370.79,2006-06-13
371.72,371.72,2006-06-12
371.62,371.62,2006-06-11
370.84,370.84,2006-06-08
369.62,369.62,2006-06-07
370.77,370.77,2006-06-06
371.47,371.47,2006-06-05
372.06,372.06,2006-06-04
371.97,371.97,2006-06-01
371.74,371.74,2006-05-31
372.64,372.64,2006-05-30
380.2,380.2,2006-05-29
375.64,375.64,2006-05-28
368.89,368.89,2006-05-25
370.89,370.89,2006-05-24
372.48,372.48,2006-05-23
378.23,378.23,2006-05-22
382.65,382.65,2006-05-21
384.11,384.11,2006-05-18
384.58,384.58,2006-05-17
387.86,387.86,2006-05-16
388.49,388.49,2006-05-15
385.89,385.89,2006-05-14
381.7,381.7,2006-05-11
377.47,377.47,2006-05-10
375.15,375.15,2006-05-09
370.95,370.95,2006-05-08
368.68,368.68,2006-05-07
366.94,366.94,2006-05-04
367.99,367.99,2006-05-03
372.45,372.45,2006-05-02
374.87,374.87,2006-05-01
361.58,361.58,2006-04-30
343.28,343.28,2006-04-26
338.54,338.54,2006-04-25
331.88,331.88,2006-04-17
334.27,334.27,2006-04-16
334.77,334.77,2006-04-05
334.15,334.15,2006-04-04
334.88,334.88,2006-04-03
336.71,336.71,2006-04-02
337.52,337.52,2006-03-30
337.57,337.57,2006-03-28
337.45,337.45,2006-03-27
337.99,337.99,2006-03-26
338.7,338.7,2006-03-23
338.86,338.86,2006-03-22
339.03,339.03,2006-03-21
339.98,339.98,2006-03-20
339.6,339.6,2006-03-19
339.34,339.34,2006-03-16
339.68,339.68,2006-03-15
339.79,339.79,2006-03-13
337.32,337.32,2006-03-12
337.87,337.87,2006-03-09
335.37,335.37,2006-03-08
332.28,332.28,2006-03-07
334.42,334.42,2006-03-06
339.58,339.58,2006-03-05
339.58,339.58,2006-03-02
343.28,343.28,2006-03-01
341.05,341.05,2006-02-28
337.58,337.58,2006-02-27
333.03,333.03,2006-02-23
329.82,329.82,2006-02-22
327.48,327.48,2006-02-21
325.35,325.35,2006-02-20
324.86,324.86,2006-02-16
325.9,325.9,2006-02-15
329.39,329.39,2006-02-14
325.96,325.96,2006-02-13
317.69,317.69,2006-02-12
312.63,312.63,2006-02-09
310.32,310.32,2006-02-07
309.09,309.09,2006-02-06
309.09,309.09,2006-02-05
308.92,308.92,2006-02-02
308.25,308.25,2006-02-01
309.04,309.04,2006-01-31
306.9,306.9,2006-01-30
306.28,306.28,2006-01-26
306.13,306.13,2006-01-25
306.51,306.51,2006-01-24
305.72,305.72,2006-01-23
305.3,305.3,2006-01-22
305.27,305.27,2006-01-19
306.17,306.17,2006-01-18
305.93,305.93,2006-01-17
305.85,305.85,2006-01-16
305.66,305.66,2006-01-15
305.5,305.5,2006-01-12
305.55,305.55,2006-01-10
305.69,305.69,2006-01-09
305.44,305.44,2006-01-08
305.62,305.62,2006-01-05
305.85,305.85,2006-01-04
305.42,305.42,2006-01-03
304.16,304.16,2006-01-02
303.26,303.26,2006-01-01
302.78,302.78,2005-12-29
301.6,301.6,2005-12-28
301.09,301.09,2005-12-27
299.93,299.93,2005-12-26
300.49,300.49,2005-12-25
308.67,308.67,2005-12-22
308.13,308.13,2005-12-21
306.59,306.59,2005-12-20
304.97,304.97,2005-12-19
303.98,303.98,2005-12-18
303.12,303.12,2005-12-15
302.24,302.24,2005-12-14
300.71,300.71,2005-12-13
299.71,299.71,2005-12-12
299.84,299.84,2005-12-11
299.1,299.1,2005-12-08
297.49,297.49,2005-12-07
298,298,2005-12-06
301.97,301.97,2005-12-05
301.65,301.65,2005-12-04
301.76,301.76,2005-12-01
300.54,300.54,2005-11-30
300.96,300.96,2005-11-29
301.67,301.67,2005-11-28
301.13,301.13,2005-11-27
301.2,301.2,2005-11-24
300.78,300.78,2005-11-23
302.23,302.23,2005-11-22
302.02,302.02,2005-11-21
300.57,300.57,2005-11-20
300.64,300.64,2005-11-17
300.58,300.58,2005-11-16
302.39,302.39,2005-11-15
305.01,305.01,2005-11-14
306.15,306.15,2005-11-13
307.98,307.98,2005-11-10
306.15,306.15,2005-11-08
303.94,303.94,2005-11-07
307.42,307.42,2005-11-06
307.22,307.22,2005-10-31
307.57,307.57,2005-10-30
305.73,305.73,2005-10-27
304.99,304.99,2005-10-26
305.32,305.32,2005-10-25
306.63,306.63,2005-10-24
302.83,302.83,2005-10-23
298.35,298.35,2005-10-20
298.11,298.11,2005-10-19
297.66,297.66,2005-10-18
297.34,297.34,2005-10-09
296.98,296.98,2005-10-06
296.55,296.55,2005-10-05
296.37,296.37,2005-10-02
296.98,296.98,2005-09-29
297.17,297.17,2005-09-28
296.2,296.2,2005-09-27
294.67,294.67,2005-09-26
294.89,294.89,2005-09-25
294.12,294.12,2005-09-22
293.69,293.69,2005-09-21
292.85,292.85,2005-09-20
293.11,293.11,2005-09-19
292.67,292.67,2005-09-18
293.35,293.35,2005-09-15
293.92,293.92,2005-09-14
293.81,293.81,2005-09-13
293.75,293.75,2005-09-12
294.95,294.95,2005-09-11
296.22,296.22,2005-09-08
298.23,298.23,2005-09-07
298.33,298.33,2005-09-06
296.76,296.76,2005-09-05
293.42,293.42,2005-09-04
289.4,289.4,2005-09-01
290.56,290.56,2005-08-31
291.61,291.61,2005-08-30
293.29,293.29,2005-08-29
293.85,293.85,2005-08-28
293.58,293.58,2005-08-25
292.08,292.08,2005-08-24
289.57,289.57,2005-08-23
293.65,293.65,2005-08-22
295.45,295.45,2005-08-21
297.06,297.06,2005-08-18
298.85,298.85,2005-08-17
300.05,300.05,2005-08-16
300.58,300.58,2005-08-15
300.94,300.94,2005-08-14
300.8,300.8,2005-08-11
297.83,297.83,2005-08-10
297.71,297.71,2005-08-09
300.55,300.55,2005-08-08
305.2,305.2,2005-08-07
305.87,305.87,2005-08-04
305.2,305.2,2005-08-03
300.88,300.88,2005-08-02
299.61,299.61,2005-08-01
296.78,296.78,2005-07-31
295.89,295.89,2005-07-28
294.62,294.62,2005-07-27
294.3,294.3,2005-07-26
292.47,292.47,2005-07-25
291.97,291.97,2005-07-24
290.88,290.88,2005-07-20
